name	description
VFG0805	VFG0805 tir - putative translocated intimin receptor protein [Escherichia coli O157:H7 EDL933] (VF0193)
VFG0806	VFG0806 Z5113 - - [Escherichia coli O157:H7 EDL933]
VFG0807	VFG0807 cesF - - [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0808	VFG0808 espH - - [Escherichia coli O157:H7 EDL933] (VF0197)
VFG0809	VFG0809 sepQ - sepQ [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0810	VFG0810 Z5117 - - [Escherichia coli O157:H7 EDL933]
VFG0811	VFG0811 Z5118 - - [Escherichia coli O157:H7 EDL933]
VFG0812	VFG0812 escN - escN [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0813	VFG0813 escV - escV [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0814	VFG0814 Z5121 - - [Escherichia coli O157:H7 EDL933]
VFG0815	VFG0815 sepZ - sepZ [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0816	VFG0816 Z5123 - - [Escherichia coli O157:H7 EDL933]
VFG0817	VFG0817 escJ - escJ [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0818	VFG0818 Z5125 - - [Escherichia coli O157:H7 EDL933]
VFG0819	VFG0819 escC - escC [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0820	VFG0820 cesD - cesD [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0821	VFG0821 Z5128 - - [Escherichia coli O157:H7 EDL933]
VFG0822	VFG0822 Z5129 - - [Escherichia coli O157:H7 EDL933]
VFG0823	VFG0823 Z5131 - - [Escherichia coli O157:H7 EDL933]
VFG0824	VFG0824 escU - escU [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0825	VFG0825 escT - escT [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0826	VFG0826 escS - escS [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0827	VFG0827 escR - escR [Escherichia coli O157:H7 EDL933] (VF0191)
VFG0828	VFG0828 Z5136 - - [Escherichia coli O157:H7 EDL933]
VFG0829	VFG0829 Z5137 - - [Escherichia coli O157:H7 EDL933]
VFG0830	VFG0830 Z5138 - - [Escherichia coli O157:H7 EDL933]
VFG0831	VFG0831 Z5139 - - [Escherichia coli O157:H7 EDL933]
VFG0832	VFG0832 ler - Ler [Escherichia coli O157:H7 EDL933] (VF0192)
VFG0833	VFG0833 espG - EspG [Escherichia coli O157:H7 EDL933] (VF0201)
VFG0834	VFG0834 Z5143 - - [Escherichia coli O157:H7 EDL933]
VFG0835	VFG0835 stx1A - shiga-like toxin 1 subunit A encoded within prophage CP-933V [Escherichia coli O157:H7 EDL933] (VF0206)
VFG0836	VFG0836 stx1B - shiga-like toxin 1 subunit B encoded within prophage CP-933V [Escherichia coli O157:H7 EDL933] (VF0206)
VFG0837	VFG0837 stx2A - shiga-like toxin II A subunit encoded by bacteriophage BP-933W [Escherichia coli O157:H7 EDL933] (VF0206)
VFG0838	VFG0838 stx2B - shiga-like toxin II B subunit encoded by bacteriophage BP-933W [Escherichia coli O157:H7 EDL933] (VF0206)
VFG0839	VFG0839 paa - Paa [Escherichia coli O157:H7 EDL933] (VF0194)
VFG0840	VFG0840 hlyA - hemolysin toxin protein [Escherichia coli O157:H7 EDL933] (VF0207)
VFG0841	VFG0841 hlyB - hemolysin transport protein [Escherichia coli O157:H7 EDL933] (VF0207)
VFG0842	VFG0842 hlyC - hemolysin transport protein [Escherichia coli O157:H7 EDL933] (VF0207)
VFG0843	VFG0843 hlyD - hemolysin transport protein [Escherichia coli O157:H7 EDL933] (VF0207)
VFG0844	VFG0844 espP - putative exoprotein-precursor [Escherichia coli O157:H7 EDL933] (VF0208)
VFG0845	VFG0845 toxB - ToxB [Escherichia coli O157:H7 EDL933] (VF0203)
VFG0846	VFG0846 stcE - StcE [Escherichia coli O157:H7 EDL933] (VF0209)
VFG0847	VFG0847 aggA - fimbrial subunit [Escherichia coli 17-2] (VF0214)
VFG0848	VFG0848 aggB - unknown [Escherichia coli 17-2] (VF0214)
VFG0849	VFG0849 aggC - usher protein [Escherichia coli 17-2] (VF0214)
VFG0850	VFG0850 aggD - chaperone [Escherichia coli 17-2] (VF0214)
VFG0851	VFG0851 aafA - major fimbrial subunit of aggregative adherence [Escherichia coli 042] (VF0214)
VFG0852	VFG0852 aafD - chaperone protein AafD [Escherichia coli 042] (VF0214)
VFG0853	VFG0853 aafC - aggragative adherence fimbria II usher protein [Escherichia coli 042] (VF0214)
VFG0854	VFG0854 aafB - invasin homolog AafB [Escherichia coli 042] (VF0214)
VFG0855	VFG0855 agg3A - adhesin protein [Escherichia coli 55989] (VF0214)
VFG0856	VFG0856 agg3B - putative invasin protein [Escherichia coli 55989] (VF0214)
VFG0857	VFG0857 agg3C - usher protein [Escherichia coli 55989] (VF0214)
VFG0858	VFG0858 agg3D - chaperone [Escherichia coli 55989] (VF0214)
VFG0859	VFG0859 set1A - toxin subunit Set1A [Escherichia coli 042] (VF0219)
VFG0860	VFG0860 set1B - toxin subunit Set1B [Escherichia coli 042] (VF0219)
VFG0861	VFG0861 pic - Pic serine protease precursor [Escherichia coli 042] (VF0218)
VFG0862	VFG0862 pet - Pet serine protease precursor [Escherichia coli 042] (VF0217)
VFG0863	VFG0863 astA - heat-stable enterotoxin 1 [Escherichia coli 042] (VF0216)
VFG0864	VFG0864 aggR - AraC homolgous regulator of AAF/I [Escherichia coli 042] (VF0214)
VFG0865	VFG0865 aap/aspU - Dispersin [Escherichia coli 17-2] (VF0215)
VFG0866	VFG0866 aatP - AatP permease [Escherichia coli 042] (VF0215)
VFG0867	VFG0867 aatA - AatA outermembrane protein, similar to TolC [Escherichia coli 042] (VF0215)
VFG0868	VFG0868 aatB - AatB [Escherichia coli 042] (VF0215)
VFG0869	VFG0869 aatC - AatC ATB binding protein of ABC transporter [Escherichia coli 042] (VF0215)
VFG0870	VFG0870 aatD - AatD [Escherichia coli 042] (VF0215)
VFG0871	VFG0871 fimB - Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073] (VF0221)
VFG0872	VFG0872 fimE - Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073] (VF0221)
VFG0873	VFG0873 fimA - Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073] (VF0221)
VFG0874	VFG0874 fimI - Fimbrin-like protein fimI precursor [Escherichia coli CFT073] (VF0221)
VFG0875	VFG0875 fimC - Chaperone protein fimC precursor [Escherichia coli CFT073] (VF0221)
VFG0876	VFG0876 fimD - Outer membrane usher protein fimD precursor [Escherichia coli CFT073] (VF0221)
VFG0877	VFG0877 fimF - FimF protein precursor [Escherichia coli CFT073] (VF0221)
VFG0878	VFG0878 fimG - FimG protein precursor [Escherichia coli CFT073] (VF0221)
VFG0879	VFG0879 fimH - FimH protein precursor [Escherichia coli CFT073] (VF0221)
VFG0880	VFG0880 papI - PapI protein [Escherichia coli CFT073] (VF0220)
VFG0881	VFG0881 papB - PapB protein [Escherichia coli CFT073] (VF0220)
VFG0882	VFG0882 papA - PapA protein [Escherichia coli CFT073] (VF0220)
VFG0883	VFG0883 papH - PapH protein [Escherichia coli CFT073] (VF0220)
VFG0884	VFG0884 papC - PapC protein [Escherichia coli CFT073] (VF0220)
VFG0885	VFG0885 papD - PapD protein [Escherichia coli CFT073] (VF0220)
VFG0886	VFG0886 papJ - PapJ protein [Escherichia coli CFT073] (VF0220)
VFG0887	VFG0887 papK - PapK protein [Escherichia coli CFT073] (VF0220)
VFG0888	VFG0888 papE - PapE protein [Escherichia coli CFT073] (VF0220)
VFG0889	VFG0889 papF - PapF protein [Escherichia coli CFT073] (VF0220)
VFG0890	VFG0890 papG - PapG protein [Escherichia coli CFT073] (VF0220)
VFG0891	VFG0891 papI_2 - PapI protein [Escherichia coli CFT073] (VF0220)
VFG0892	VFG0892 papB_2 - PapB protein [Escherichia coli CFT073] (VF0220)
VFG0893	VFG0893 papA_2 - PapA protein [Escherichia coli CFT073] (VF0220)
VFG0894	VFG0894 papH_2 - PapH protein [Escherichia coli CFT073] (VF0220)
VFG0895	VFG0895 papC_2 - PapC protein [Escherichia coli CFT073] (VF0220)
VFG0896	VFG0896 papD_2 - PapD protein [Escherichia coli CFT073] (VF0220)
VFG0897	VFG0897 papJ_2 - PapJ protein [Escherichia coli CFT073] (VF0220)
VFG0898	VFG0898 papK_2 - PapK protein [Escherichia coli CFT073] (VF0220)
VFG0899	VFG0899 papE_2 - PapE protein [Escherichia coli CFT073] (VF0220)
VFG0900	VFG0900 papF_2 - PapF protein [Escherichia coli CFT073] (VF0220)
VFG0901	VFG0901 papG_2 - PapG protein [Escherichia coli CFT073] (VF0220)
VFG0902	VFG0902 sat - Aecreted auto transpoter toxin [Escherichia coli CFT073] (VF0231)
VFG0903	VFG0903 pic - Pic serine protease precursor [Escherichia coli CFT073] (VF0232)
VFG0904	VFG0904 tsh - Haemoglobin protease [Escherichia coli CFT073] (VF0233)
VFG0905	VFG0905 hlyC - Hemolysin C [Escherichia coli CFT073] (VF0225)
VFG0906	VFG0906 hlyA - Hemolysin A [Escherichia coli CFT073] (VF0225)
VFG0907	VFG0907 hlyB - Hemolysin B [Escherichia coli CFT073] (VF0225)
VFG0908	VFG0908 hlyD - Hemolysin D [Escherichia coli CFT073] (VF0225)
VFG0909	VFG0909 focA - F1C major fimbrial subunit precursor [Escherichia coli CFT073] (VF0224)
VFG0910	VFG0910 focI - Putative minor F1C fimbrial subunit precursor [Escherichia coli CFT073] (VF0224)
VFG0911	VFG0911 focC - F1C periplasmic chaperone [Escherichia coli CFT073] (VF0224)
VFG0912	VFG0912 focD - F1C fimbrial usher [Escherichia coli CFT073] (VF0224)
VFG0913	VFG0913 focF - F1C minor fimbrial subunit F precursor [Escherichia coli CFT073] (VF0224)
VFG0914	VFG0914 focG - F1C minor fimbrial subunit protein G presursor [Escherichia coli CFT073] (VF0224)
VFG0915	VFG0915 focH - F1C Putative fimbrial adhesin precursor [Escherichia coli CFT073] (VF0224)
VFG0916	VFG0916 chuS - Putative heme/hemoglobin transport protein [Escherichia coli CFT073] (VF0227)
VFG0917	VFG0917 chuA - Outer membrane heme/hemoglobin receptor [Escherichia coli CFT073] (VF0227)
VFG0918	VFG0918 chuT - Putative Periplasmic binding protein [Escherichia coli CFT073] (VF0227)
VFG0919	VFG0919 chuW - Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073] (VF0227)
VFG0920	VFG0920 chuX - Hypothetical protein [Escherichia coli CFT073] (VF0227)
VFG0921	VFG0921 chuY - Hypothetical protein [Escherichia coli CFT073] (VF0227)
VFG0922	VFG0922 chuU - Putative permease of iron compound ABC transport system [Escherichia coli CFT073] (VF0227)
VFG0923	VFG0923 fepA - Ferrienterobactin receptor precursor [Escherichia coli CFT073] (VF0228)
VFG0924	VFG0924 fepB - Ferrienterobactin-binding periplasmic protein precursor [Escherichia coli CFT073] (VF0228)
VFG0925	VFG0925 fepC - Ferric enterobactin transport ATP-binding protein fepC [Escherichia coli CFT073] (VF0228)
VFG0926	VFG0926 fepD - Ferric enterobactin transport system permease protein fepD [Escherichia coli CFT073] (VF0228)
VFG0927	VFG0927 fepE - Ferric enterobactin transport protein fepE [Escherichia coli CFT073] (VF0228)
VFG0928	VFG0928 fepG - Ferric enterobactin transport system permease protein fepG [Escherichia coli CFT073] (VF0228)
VFG0929	VFG0929 entD - 4'-phosphopantetheinyl transferase entD [Escherichia coli CFT073] (VF0228)
VFG0930	VFG0930 entF - Enterobactin synthetase component F [Escherichia coli CFT073] (VF0228)
VFG0931	VFG0931 entC - Isochorismate synthase entC [Escherichia coli CFT073] (VF0228)
VFG0932	VFG0932 entE - Enterobactin synthetase component E [Escherichia coli CFT073] (VF0228)
VFG0933	VFG0933 entB - Isochorismatase [Escherichia coli CFT073] (VF0228)
VFG0934	VFG0934 entA - 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Escherichia coli CFT073] (VF0228)
VFG0935	VFG0935 iroN - Siderophore receptor IroN [Escherichia coli CFT073] (VF0230)
VFG0936	VFG0936 iutA - IutA protein [Escherichia coli CFT073] (VF0229)
VFG0937	VFG0937 iucD - IucD protein [Escherichia coli CFT073] (VF0229)
VFG0938	VFG0938 iucC - IucC protein [Escherichia coli CFT073] (VF0229)
VFG0939	VFG0939 iucB - IucB protein [Escherichia coli CFT073] (VF0229)
VFG0940	VFG0940 iucA - IucA protein [Escherichia coli CFT073] (VF0229)
VFG0942	VFG0942 draA - cytoplamic protein [Escherichia coli IH11128] (VF0223)
VFG0943	VFG0943 draB - DraB, periplasmic protein [Escherichia coli IH11128] (VF0223)
VFG0944	VFG0944 draC - DraC [Escherichia coli IH11128] (VF0223)
VFG0945	VFG0945 draD - DraD, periplasmic protein [Escherichia coli IH11128] (VF0223)
VFG0946	VFG0946 draP - DraP [Escherichia coli IH11128] (VF0223)
VFG0947	VFG0947 draE - DraE [Escherichia coli IH11129] (VF0223)
VFG1424	VFG1424 draE2 - Dr-II structural adhesin precursor [Escherichia coli EC7372] (VF0212)
VFG1425	VFG1425 afaE-3 - AFA-III adhesin [Escherichia coli] (VF0212)
VFG1426	VFG1426 afaE-1 - AFA-I adhesin [Escherichia coli KS52] (VF0212)
VFG1427	VFG1427 daaE - fimbrial subunit F1845 [Escherichia coli C1845] (VF0212)
VFG1428	VFG1428 draE - DraE [Escherichia coli IH11128] (VF0212)
VFG1429	VFG1429 cooA - CS1 pilin major subunit [Escherichia coli] (VF0213)
VFG1430	VFG1430 cs3 - fimbrial subunit precursor of CS3 [Escherichia coli] (VF0213)
VFG1431	VFG1431 cs5 - fimbrial subunit CS5 [Escherichia coli] (VF0213)
VFG1432	VFG1432 cssA - CS6 structural subunit A [Escherichia coli] (VF0213)
VFG1433	VFG1433 csvA - CS7 fimbria major subunit CsvA precursor [Escherichia coli] (VF0213)
VFG1434	VFG1434 cswA - CS12 fimbria major subunit protein precursor [Escherichia coli] (VF0213)
VFG1435	VFG1435 cfa/I - colonization factor antigen 1 [Escherichia coli] (VF0213)
VFG1436	VFG1436 cofA - CFA/III pilin [Escherichia coli] (VF0213)
VFG1437	VFG1437 cseA - CS22 adhesin protein [Escherichia coli] (VF0213)
VFG1438	VFG1438 csbA - CS17 fimbrial subunit [Escherichia coli] (VF0213)
VFG1439	VFG1439 csnA - CS20 fimbria major subunit protein [Escherichia coli] (VF0213)
VFG1440	VFG1440 ibeC - membrane protein YijP [Escherichia coli] (VF0237)
VFG1441	VFG1441 ibeB - IbeB [Escherichia coli] (VF0237)
VFG1442	VFG1442 ibeA - invasion protein IbeA [Escherichia coli] (VF0237)
VFG1443	VFG1443 ompA - outer membrane protein A [Escherichia coli] (VF0236)
VFG1444	VFG1444 aslA - putative arylsulfatase [Escherichia coli] (VF0238)
VFG1445	VFG1445 traJ - TraJ [Escherichia coli] (VF0241)
VFG1446	VFG1446 sfaA - S-fimbrial protein precursor [Escherichia coli] (VF0235)
VFG1447	VFG1447 cnf1 - cytotoxic necrotizing factor 1 [Escherichia coli] (VF0240)
VFG1448	VFG1448 kpsD - KpsD [Escherichia coli] (VF0239)
VFG1449	VFG1449 kpsT - KpsT [Escherichia coli] (VF0239)
VFG1450	VFG1450 kpsM - KpsM [Escherichia coli] (VF0239)
VFG1452	VFG1452 int - pseudo: with similarity to bacteriophage P4-like integrase [Escherichia coli 536]
VFG1453	VFG1453 ORF2 - putative DNA methylase [Escherichia coli 536]
VFG1454	VFG1454 ORF3 - putative DNA methylase [Escherichia coli 536]
VFG1455	VFG1455 ORF4 - hypothetical protein [Escherichia coli 536]
VFG1456	VFG1456 ORF5 - hypothetical protein [Escherichia coli 536]
VFG1457	VFG1457 ORF6 - hypothetical protein [Escherichia coli 536]
VFG1458	VFG1458 ORF7 - hypothetical protein [Escherichia coli 536]
VFG1459	VFG1459 ORF8 - hypothetical protein [Escherichia coli 536]
VFG1460	VFG1460 y1094 - ORF B protein [Escherichia coli 536]
VFG1461	VFG1461 y1093 - ORF A protein [Escherichia coli 536]
VFG1462	VFG1462 l0015 - putative IS protein [Escherichia coli 536]
VFG1463	VFG1463 prsX - PrsX protein [Escherichia coli 536]
VFG1464	VFG1464 ORF13 - hypothetical protein [Escherichia coli 536]
VFG1465	VFG1465 ORF14 - hypothetical protein [Escherichia coli 536]
VFG1466	VFG1466 ORF15 - putative F17-like fimbril adhesin subunit [Escherichia coli 536]
VFG1467	VFG1467 ORF16 - putative F17-like fimbrial usher [Escherichia coli 536]
VFG1468	VFG1468 ORF17 - putative F17-like fimbrial chaperone [Escherichia coli 536]
VFG1469	VFG1469 ORF18 - putative F17-like fimbrial subunit [Escherichia coli 536]
VFG1470	VFG1470 ORF19 - hypothetical protein [Escherichia coli 536]
VFG1471	VFG1471 ORF20 - hypothetical protein [Escherichia coli 536]
VFG1472	VFG1472 ORF21 - putative FMN-dependent dehydrogenase [Escherichia coli 536]
VFG1473	VFG1473 ORF22 - hypothetical protein [Escherichia coli 536]
VFG1474	VFG1474 ORF23 - putative UidR transriptional regulator [Escherichia coli 536]
VFG1475	VFG1475 ORF24 - hypothetical protein [Escherichia coli 536]
VFG1476	VFG1476 ORF25 - hypothetical protein [Escherichia coli 536]
VFG1477	VFG1477 ORF26 - hypothetical protein [Escherichia coli 536]
VFG1478	VFG1478 ORF27 - hypothetical protein [Escherichia coli 536]
VFG1479	VFG1479 ORF28 - hypothetical protein [Escherichia coli 536]
VFG1480	VFG1480 ORF29 - hypothetical protein [Escherichia coli 536]
VFG1481	VFG1481 ORF30 - hypothetical protein [Escherichia coli 536]
VFG1482	VFG1482 ORF31 - hypothetical protein [Escherichia coli 536]
VFG1483	VFG1483 ORF32 - Pseudo [Escherichia coli 536]
VFG1484	VFG1484 l7094 - ORF B protein [Escherichia coli 536]
VFG1485	VFG1485 l7045 - L7045 [Escherichia coli 536]
VFG1486	VFG1486 ORF35 - putative CS12 fimbrial-like upstream regulatory protein [Escherichia coli 536]
VFG1487	VFG1487 ORF36 - putative CS12 fimbria-like major fimbrial protein subunit [Escherichia coli 536]
VFG1488	VFG1488 ORF37 - FasB-like protein [Escherichia coli 536]
VFG1489	VFG1489 ORF38 - FasC-like protein [Escherichia coli 536]
VFG1490	VFG1490 ORF39 - FasD-like protein [Escherichia coli 536]
VFG1491	VFG1491 ORF40 - FasE-like protein [Escherichia coli 536]
VFG1492	VFG1492 ORF41 - FasF-like protein [Escherichia coli 536]
VFG1493	VFG1493 ORF42 - FasG-like protein [Escherichia coli 536]
VFG1494	VFG1494 s0055 - putative IS110 transposase [Escherichia coli 536]
VFG1495	VFG1495 ORF44 - pseudo: with similarity to IS630 transposase [Escherichia coli 536]
VFG1496	VFG1496 ORF45 - putative ABC transporter ATP-binding protein [Escherichia coli 536]
VFG1497	VFG1497 ORF46 - putative ABC transporter membrane protein [Escherichia coli 536]
VFG1498	VFG1498 ORF47 - putative periplasmic solute binding protein [Escherichia coli 536]
VFG1499	VFG1499 hlyC - hemolysin C [Escherichia coli 536]
VFG1500	VFG1500 hlyA - hemolysin A [Escherichia coli 536]
VFG1501	VFG1501 hlyB - hemolysin B [Escherichia coli 536]
VFG1502	VFG1502 hlyD - Hemolysin D [Escherichia coli 536]
VFG1503	VFG1503 ORF52 - hypothetical protein [Escherichia coli 536]
VFG1504	VFG1504 z1203 - Z1203 protein [Escherichia coli 536]
VFG1505	VFG1505 z1204 - Z1204 protein [Escherichia coli 536]
VFG1506	VFG1506 l0006 - L0006 protein [Escherichia coli 536]
VFG1507	VFG1507 ORF56 - AraC-like transcriptional regulator [Escherichia coli 536]
VFG1508	VFG1508 ORF57 - Pseudo [Escherichia coli 536]
VFG1509	VFG1509 ORF58 - hypothetical protein [Escherichia coli 536]
VFG1510	VFG1510 ORF59 - hypothetical protein [Escherichia coli 536]
VFG1511	VFG1511 ORF60 - putative integrase [Escherichia coli 536]
VFG1512	VFG1512 ORF61 - putative reverse transcriptase [Escherichia coli 536]
VFG1513	VFG1513 s0025 - IS66-like transposase [Escherichia coli 536]
VFG1514	VFG1514 s0035 - ORF A protein [Escherichia coli 536]
VFG1515	VFG1515 s0036 - ORF B protein [Escherichia coli 536]
VFG1516	VFG1516 l0015 - L0015 protein [Escherichia coli 536]
VFG1517	VFG1517 l0014 - L0014 protein [Escherichia coli 536]
VFG1518	VFG1518 l0013 - L0013 protein [Escherichia coli 536]
VFG1519	VFG1519 ORF68 - hypothetical protein [Escherichia coli 536]
VFG1520	VFG1520 ORF69 - hypothetical protein [Escherichia coli 536]
VFG1521	VFG1521 ORF70 - putative transposase [Escherichia coli 536]
VFG1522	VFG1522 ORF71 - hypothetical protein [Escherichia coli 536]
VFG1523	VFG1523 ORF72 - hypothetical protein [Escherichia coli 536]
VFG1524	VFG1524 ORF73 - hypothetical protein [Escherichia coli 536]
VFG1525	VFG1525 ORF74 - hypothetical protein [Escherichia coli 536]
VFG1526	VFG1526 z1215 - Z1215 protein [Escherichia coli 536]
VFG1527	VFG1527 z1216 - Z1216 protein [Escherichia coli 536]
VFG1528	VFG1528 z1217 - Z1217 protein [Escherichia coli 536]
VFG1529	VFG1529 yeeT - YeeT protein [Escherichia coli 536]
VFG1530	VFG1530 z5091 - Z5091 protein [Escherichia coli 536]
VFG1531	VFG1531 z5092 - Z5092 protein [Escherichia coli 536]
VFG1532	VFG1532 z1225 - Z1225 protein [Escherichia coli 536]
VFG1533	VFG1533 z1226 - Z1226 protein [Escherichia coli 536]
VFG1534	VFG1534 efa1 - EHEC factor for adherence [Escherichia coli E45035] (VF0204)
VFG1536	VFG1536 intB - bacteriophage P4 integrase [Escherichia coli 536]
VFG1537	VFG1537 orf2 - hypothetical protein [Escherichia coli 536]
VFG1538	VFG1538 yjgX - hypothetical protein [Escherichia coli 536]
VFG1539	VFG1539 hek - adhesin/virulence factor Hek [Escherichia coli 536]
VFG1540	VFG1540 orf4 - hypothetical protein [Escherichia coli 536]
VFG1541	VFG1541 prfX - PrfX protein [Escherichia coli 536]
VFG1542	VFG1542 prfG - PrfG protein [Escherichia coli 536]
VFG1543	VFG1543 prfF - PrfF protein [Escherichia coli 536]
VFG1544	VFG1544 prfE - PrfE protein [Escherichia coli 536]
VFG1545	VFG1545 prfK - PrfK protein [Escherichia coli 536]
VFG1546	VFG1546 prfJ - PrfJ protein [Escherichia coli 536]
VFG1547	VFG1547 prfD - PrfD protein [Escherichia coli 536]
VFG1548	VFG1548 prfC - PrfC protein [Escherichia coli 536]
VFG1549	VFG1549 prfH - PrfH protein [Escherichia coli 536]
VFG1550	VFG1550 prfA - PrfA protein [Escherichia coli 536]
VFG1551	VFG1551 prfB - PrfB protein [Escherichia coli 536]
VFG1552	VFG1552 prfI - PrfI protein [Escherichia coli 536]
VFG1553	VFG1553 orf18 - hypothetical protein [Escherichia coli 536]
VFG1554	VFG1554 orf19 - hypothetical protein [Escherichia coli 536]
VFG1555	VFG1555 orf20 - hypothetical protein [Escherichia coli 536]
VFG1556	VFG1556 hlyD - HlyD protein [Escherichia coli 536]
VFG1557	VFG1557 hlyB - HlyB protein [Escherichia coli 536]
VFG1558	VFG1558 hlyA - HlyA protein [Escherichia coli 536]
VFG1559	VFG1559 hlyC - HlyC protein [Escherichia coli 536]
VFG1560	VFG1560 orf26 - hypothetical protein [Escherichia coli 536]
VFG1561	VFG1561 orf27 - hypothetical protein [Escherichia coli 536]
VFG1562	VFG1562 orf28 - hypothetical protein [Escherichia coli 536]
VFG1563	VFG1563 orf29 - hypothetical protein [Escherichia coli 536]
VFG1564	VFG1564 orf30 - hypothetical protein [Escherichia coli 536]
VFG1565	VFG1565 orf31 - hypothetical protein [Escherichia coli 536]
VFG1566	VFG1566 orf32 - hypothetical protein [Escherichia coli 536]
VFG1567	VFG1567 orf33 - hypothetical protein [Escherichia coli 536]
VFG1568	VFG1568 orf34 - hypothetical protein [Escherichia coli 536]
VFG1569	VFG1569 orf35 - hypothetical protein [Escherichia coli 536]
VFG1570	VFG1570 orf36 - hypothetical protein [Escherichia coli 536]
VFG1571	VFG1571 orf37 - pseudo [Escherichia coli 536]
VFG1572	VFG1572 orf38 - hypothetical protein [Escherichia coli 536]
VFG1573	VFG1573 orf39 - hypothetical protein [Escherichia coli 536]
VFG1574	VFG1574 orf40 - hypothetical protein [Escherichia coli 536]
VFG1575	VFG1575 orf41 - hypothetical protein [Escherichia coli 536]
VFG1576	VFG1576 orf42 - hypothetical protein [Escherichia coli 536]
VFG1577	VFG1577 orf43 - hypothetical protein [Escherichia coli 536]
VFG1578	VFG1578 orf44 - hypothetical protein [Escherichia coli 536]
VFG1579	VFG1579 orf45 - hypothetical protein [Escherichia coli 536]
VFG1580	VFG1580 orf46 - hypothetical protein [Escherichia coli 536]
VFG1581	VFG1581 orf47 - hypothetical protein [Escherichia coli 536]
VFG1582	VFG1582 orf48 - hypothetical protein [Escherichia coli 536]
VFG1583	VFG1583 orf49 - hypothetical protein [Escherichia coli 536]
VFG1584	VFG1584 orf50 - hypothetical protein [Escherichia coli 536]
VFG1585	VFG1585 orf51 - hypothetical protein [Escherichia coli 536]
VFG1586	VFG1586 orf52 - hypothetical protein [Escherichia coli 536]
VFG1587	VFG1587 orf53 - hypothetical protein [Escherichia coli 536]
VFG1588	VFG1588 orf54 - hypothetical protein [Escherichia coli 536]
VFG1589	VFG1589 orf55 - hypothetical protein [Escherichia coli 536]
VFG1590	VFG1590 orf56 - hypothetical protein [Escherichia coli 536]
VFG1591	VFG1591 orf57 - hypothetical protein [Escherichia coli 536]
VFG1592	VFG1592 orf58 - hypothetical protein [Escherichia coli 536]
VFG1593	VFG1593 orf59 - hypothetical protein [Escherichia coli 536]
VFG1594	VFG1594 orf60 - hypothetical protein [Escherichia coli 536]
VFG1595	VFG1595 orf61 - hypothetical protein [Escherichia coli 536]
VFG1596	VFG1596 orf62 - hypothetical protein [Escherichia coli 536]
VFG1597	VFG1597 orf63 - hypothetical protein [Escherichia coli 536]
VFG1598	VFG1598 orf64 - hypothetical protein [Escherichia coli 536]
VFG1599	VFG1599 orf65 - hypothetical protein [Escherichia coli 536]
VFG1600	VFG1600 orf66 - hypothetical protein [Escherichia coli 536]
VFG1601	VFG1601 orf67 - hypothetical protein [Escherichia coli 536]
VFG1602	VFG1602 orf68 - hypothetical protein [Escherichia coli 536]
VFG1603	VFG1603 orf69 - hypothetical protein [Escherichia coli 536]
VFG1604	VFG1604 orf70 - hypothetical protein [Escherichia coli 536]
VFG1605	VFG1605 orf71 - pseudo [Escherichia coli 536]
VFG1606	VFG1606 y1093 - OrfB protein of IS100 transposase [Escherichia coli 536]
VFG1607	VFG1607 y1094 - OrfA protein of IS100 transposase [Escherichia coli 536]
VFG1608	VFG1608 orf74 - hypothetical protein [Escherichia coli 536]
VFG1609	VFG1609 orf75 - hypothetical protein [Escherichia coli 536]
VFG1610	VFG1610 orf76 - hypothetical protein [Escherichia coli 536]
VFG1611	VFG1611 orf77 - hypothetical protein [Escherichia coli 536]
VFG1612	VFG1612 orf78 - hypothetical protein [Escherichia coli 536]
VFG1613	VFG1613 orf79 - hypothetical protein [Escherichia coli 536]
VFG1614	VFG1614 orf80 - hypothetical protein [Escherichia coli 536]
VFG1615	VFG1615 orf81 - hypothetical protein [Escherichia coli 536]
VFG1616	VFG1616 orf82 - hypothetical protein [Escherichia coli 536]
VFG1617	VFG1617 orf83 - hypothetical protein [Escherichia coli 536]
VFG1618	VFG1618 yeeT - hypothetical protein [Escherichia coli 536]
VFG1619	VFG1619 yeeU - hypothetical protein [Escherichia coli 536]
VFG1620	VFG1620 orf86 - hypothetical protein [Escherichia coli 536]
VFG1621	VFG1621 orf87 - hypothetical protein [Escherichia coli 536]
VFG1622	VFG1622 orf88 - hypothetical protein [Escherichia coli 536]
VFG1624	VFG1624 int - integrase of Shigella flexneri bacteriophage X [Escherichia coli 536]
